2025-12-22 06:30:33 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 93.9% of avg range > max 30.0%
2025-12-22 06:53:59 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 85.7% of avg range > max 30.0%
2025-12-22 07:53:07 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 91.6% of avg range > max 30.0%
2025-12-22 07:57:38 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 92.7% of avg range > max 30.0%
2025-12-22 08:01:06 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 78.4% of avg range > max 30.0%
2025-12-22 08:04:34 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 72.9% of avg range > max 30.0%
2025-12-22 08:07:43 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.7% of avg range > max 30.0%
2025-12-22 08:11:00 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 53.8% of avg range > max 30.0%
2025-12-22 09:45:26 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.7% of avg range > max 30.0%
2025-12-22 09:48:55 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.9% of avg range > max 30.0%
2025-12-22 09:52:38 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 60.6% of avg range > max 30.0%
2025-12-22 09:56:14 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 68.3% of avg range > max 30.0%
2025-12-22 09:59:53 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: last 1 minutes of hour blocked
2025-12-22 10:19:49 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 88.2% of avg range > max 30.0%
2025-12-22 10:23:14 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 92.8% of avg range > max 30.0%
2025-12-22 10:26:41 - trades.USTECm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 95.2% of avg range > max 30.0%
