2025-12-22 04:45:14 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 101.0% of avg range > max 30.0%
2025-12-22 04:48:12 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 103.9% of avg range > max 30.0%
2025-12-22 06:15:14 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 99.0% of avg range > max 30.0%
2025-12-22 06:21:24 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 93.2% of avg range > max 30.0%
2025-12-22 06:24:43 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 89.0% of avg range > max 30.0%
2025-12-22 06:27:29 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 94.0% of avg range > max 30.0%
2025-12-22 06:30:31 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 93.9% of avg range > max 30.0%
2025-12-22 06:53:53 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 85.7% of avg range > max 30.0%
2025-12-22 07:53:06 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 91.6% of avg range > max 30.0%
2025-12-22 07:57:37 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 92.7% of avg range > max 30.0%
2025-12-22 08:01:05 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 78.4% of avg range > max 30.0%
2025-12-22 08:04:33 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 72.9% of avg range > max 30.0%
2025-12-22 08:07:42 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.7% of avg range > max 30.0%
2025-12-22 08:10:58 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 53.8% of avg range > max 30.0%
2025-12-22 09:45:24 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.7% of avg range > max 30.0%
2025-12-22 09:48:54 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 61.9% of avg range > max 30.0%
2025-12-22 09:52:37 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 60.6% of avg range > max 30.0%
2025-12-22 09:56:13 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 68.3% of avg range > max 30.0%
2025-12-22 09:59:52 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: last 1 minutes of hour blocked
2025-12-22 10:19:48 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 88.2% of avg range > max 30.0%
2025-12-22 10:23:13 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 92.8% of avg range > max 30.0%
2025-12-22 10:26:40 - trades.USTEC_x100m - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 95.2% of avg range > max 30.0%
