2026-01-05 07:30:46 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 162.1% of avg range > max 50.0%
2026-01-05 07:32:47 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 156.3% of avg range > max 50.0%
2026-01-05 07:34:34 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 143.8% of avg range > max 50.0%
2026-01-05 07:36:20 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 144.0% of avg range > max 50.0%
2026-01-05 07:43:17 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 164.2% of avg range > max 50.0%
2026-01-05 07:45:02 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 163.9% of avg range > max 50.0%
2026-01-05 07:46:45 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 169.9% of avg range > max 50.0%
2026-01-05 07:48:26 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 172.9% of avg range > max 50.0%
2026-01-05 07:50:07 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 173.9% of avg range > max 50.0%
2026-01-05 07:51:47 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 180.7% of avg range > max 50.0%
2026-01-05 07:53:29 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 186.8% of avg range > max 50.0%
2026-01-05 07:55:10 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 208.0% of avg range > max 50.0%
2026-01-05 07:56:51 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 213.6% of avg range > max 50.0%
2026-01-05 07:58:31 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 230.4% of avg range > max 50.0%
2026-01-05 08:00:11 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Session guard: first 1 minutes of hour blocked
2026-01-05 08:01:51 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 222.2% of avg range > max 50.0%
2026-01-05 08:03:31 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 212.0% of avg range > max 50.0%
2026-01-05 08:23:35 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 109.9% of avg range > max 50.0%
2026-01-05 08:25:17 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 111.1% of avg range > max 50.0%
2026-01-05 08:26:58 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 108.4% of avg range > max 50.0%
2026-01-05 08:28:40 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 103.5% of avg range > max 50.0%
2026-01-05 08:30:22 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 98.7% of avg range > max 50.0%
2026-01-05 08:37:40 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 106.5% of avg range > max 50.0%
2026-01-05 08:39:22 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 109.0% of avg range > max 50.0%
2026-01-05 08:41:04 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 114.6% of avg range > max 50.0%
2026-01-05 08:42:46 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 114.7% of avg range > max 50.0%
2026-01-05 08:44:27 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 108.5% of avg range > max 50.0%
2026-01-05 08:46:09 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 106.5% of avg range > max 50.0%
2026-01-05 08:47:49 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 64.1% of avg range > max 50.0%
2026-01-05 08:49:30 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 62.7% of avg range > max 50.0%
2026-01-05 08:51:11 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 70.3% of avg range > max 50.0%
2026-01-05 08:52:52 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 72.4% of avg range > max 50.0%
2026-01-05 08:54:34 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 69.4% of avg range > max 50.0%
2026-01-05 08:56:19 - trades.XAGGBPm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 70.4% of avg range > max 50.0%
