2026-01-05 17:28:26 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 176.1% of avg range > max 50.0%
2026-01-05 17:33:32 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 169.7% of avg range > max 50.0%
2026-01-05 17:45:04 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 175.0% of avg range > max 50.0%
2026-01-05 17:51:46 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 194.4% of avg range > max 50.0%
2026-01-05 17:58:06 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 215.4% of avg range > max 50.0%
2026-01-05 18:03:08 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 220.5% of avg range > max 50.0%
2026-01-05 18:08:00 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 212.1% of avg range > max 50.0%
2026-01-05 18:13:11 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 210.5% of avg range > max 50.0%
2026-01-05 18:18:04 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 227.6% of avg range > max 50.0%
2026-01-05 18:23:09 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 241.4% of avg range > max 50.0%
2026-01-05 18:27:56 - trades.Cm - DEBUG - [SKIP] Cannot open trade: Entry filter: Spread sanity: spread 220.5% of avg range > max 50.0%
