2025-12-18 21:41:28 - system_events - INFO - [BOOT_TEST] {"message": "system_events logging verified"}
2025-12-18 21:41:34 - system_events - INFO - [SYSTEM_READY] {"all_critical_threads_alive": true}
2025-12-18 22:35:08 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:35:08.715937", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:36:44 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:36:44.613998", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:38:20 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:38:20.166994", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:39:56 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:39:56.112927", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:41:32 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:41:32.012498", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:43:09 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:43:09.589914", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:44:45 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:44:45.785701", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:46:22 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:46:22.015826", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:47:57 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:47:57.736784", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:49:33 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:49:33.834043", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:51:10 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:51:10.179398", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:52:46 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:52:46.210925", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:54:23 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:54:23.591425", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:56:00 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:56:00.578989", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:57:37 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:57:37.740320", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 22:59:15 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T22:59:15.356997", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:00:54 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:00:54.354060", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:02:33 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:02:33.520451", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:04:14 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:04:14.742995", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:05:54 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:05:54.818806", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:07:36 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:07:36.078497", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:09:17 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:09:17.018703", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:10:57 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:10:57.977996", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
