2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Setting up backtest environment...
2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Data preflight validation complete: 14 valid symbols, 0 skipped
2025-12-14 22:26:15 - backtest_runner - INFO - Market data provider initialized with start time: 2025-10-27 08:21:00
2025-12-14 22:26:15 - backtest_runner - INFO - Backtest environment setup complete
2025-12-14 22:26:15 - backtest_runner - INFO - Initializing trading bot for backtest mode...
2025-12-14 22:26:16 - backtest_runner - INFO - Registered SL worker loop callback
2025-12-14 22:26:16 - backtest_runner - INFO - Registered run_cycle callback
2025-12-14 22:26:16 - backtest_runner - INFO - Trading bot initialized for backtest
2025-12-14 22:26:16 - backtest_runner - INFO - ================================================================================
2025-12-14 22:26:16 - backtest_runner - INFO - STARTING BACKTEST
2025-12-14 22:44:10 - backtest_runner - INFO - Backtest progress: Step 2895 | Time: 2025-10-29 16:38:00 | Speed: 0.4 steps/sec
2025-12-14 22:44:41 - backtest_runner - INFO - Backtest progress: Step 2909 | Time: 2025-10-29 16:52:00 | Speed: 0.4 steps/sec
2025-12-14 22:45:12 - backtest_runner - INFO - Backtest progress: Step 2921 | Time: 2025-10-29 17:04:00 | Speed: 0.4 steps/sec
2025-12-14 22:45:43 - backtest_runner - INFO - Backtest progress: Step 2935 | Time: 2025-10-29 17:18:00 | Speed: 0.4 steps/sec
2025-12-14 22:46:15 - backtest_runner - INFO - Backtest progress: Step 2950 | Time: 2025-10-29 17:33:00 | Speed: 0.5 steps/sec
2025-12-14 22:46:46 - backtest_runner - INFO - Backtest progress: Step 2965 | Time: 2025-10-29 17:48:00 | Speed: 0.5 steps/sec
2025-12-14 22:47:16 - backtest_runner - INFO - Backtest progress: Step 2977 | Time: 2025-10-29 18:00:00 | Speed: 0.4 steps/sec
2025-12-14 22:47:48 - backtest_runner - INFO - Backtest progress: Step 2993 | Time: 2025-10-29 18:16:00 | Speed: 0.5 steps/sec
2025-12-14 22:48:39 - backtest_runner - INFO - Backtest progress: Step 3011 | Time: 2025-10-29 18:34:00 | Speed: 0.4 steps/sec
2025-12-14 22:49:10 - backtest_runner - INFO - Backtest progress: Step 3022 | Time: 2025-10-29 18:45:00 | Speed: 0.3 steps/sec
2025-12-14 22:49:43 - backtest_runner - INFO - Backtest progress: Step 3034 | Time: 2025-10-29 18:57:00 | Speed: 0.4 steps/sec
2025-12-14 22:50:14 - backtest_runner - INFO - Backtest progress: Step 3045 | Time: 2025-10-29 19:08:00 | Speed: 0.4 steps/sec
2025-12-14 22:50:46 - backtest_runner - INFO - Backtest progress: Step 3055 | Time: 2025-10-29 19:18:00 | Speed: 0.3 steps/sec
2025-12-14 22:51:18 - backtest_runner - INFO - Backtest progress: Step 3067 | Time: 2025-10-29 19:30:00 | Speed: 0.4 steps/sec
2025-12-14 22:51:50 - backtest_runner - INFO - Backtest progress: Step 3079 | Time: 2025-10-29 19:42:00 | Speed: 0.4 steps/sec
2025-12-14 22:52:21 - backtest_runner - INFO - Backtest progress: Step 3091 | Time: 2025-10-29 19:54:00 | Speed: 0.4 steps/sec
2025-12-14 22:52:52 - backtest_runner - INFO - Backtest progress: Step 3101 | Time: 2025-10-29 20:04:00 | Speed: 0.3 steps/sec
2025-12-14 22:53:24 - backtest_runner - INFO - Backtest progress: Step 3111 | Time: 2025-10-29 20:14:00 | Speed: 0.3 steps/sec
2025-12-14 22:53:55 - backtest_runner - INFO - Backtest progress: Step 3122 | Time: 2025-10-29 20:25:00 | Speed: 0.4 steps/sec
2025-12-14 22:54:25 - backtest_runner - INFO - Backtest progress: Step 3133 | Time: 2025-10-29 20:36:00 | Speed: 0.4 steps/sec
2025-12-14 22:54:55 - backtest_runner - INFO - Backtest progress: Step 3144 | Time: 2025-10-29 20:47:00 | Speed: 0.4 steps/sec
2025-12-14 22:55:27 - backtest_runner - INFO - Backtest progress: Step 3155 | Time: 2025-10-29 20:58:00 | Speed: 0.3 steps/sec
2025-12-14 22:55:57 - backtest_runner - INFO - Backtest progress: Step 3165 | Time: 2025-10-29 22:08:00 | Speed: 0.3 steps/sec
2025-12-14 22:56:29 - backtest_runner - INFO - Backtest progress: Step 3175 | Time: 2025-10-29 22:18:00 | Speed: 0.3 steps/sec
2025-12-14 22:56:59 - backtest_runner - INFO - Backtest progress: Step 3185 | Time: 2025-10-29 22:28:00 | Speed: 0.3 steps/sec
2025-12-14 22:57:32 - backtest_runner - INFO - Backtest progress: Step 3195 | Time: 2025-10-29 22:38:00 | Speed: 0.3 steps/sec
2025-12-14 22:58:04 - backtest_runner - INFO - Backtest progress: Step 3206 | Time: 2025-10-29 22:49:00 | Speed: 0.3 steps/sec
2025-12-14 22:58:37 - backtest_runner - INFO - Backtest progress: Step 3217 | Time: 2025-10-29 23:00:00 | Speed: 0.3 steps/sec
2025-12-14 22:59:09 - backtest_runner - INFO - Backtest progress: Step 3229 | Time: 2025-10-29 23:12:00 | Speed: 0.4 steps/sec
2025-12-14 22:59:40 - backtest_runner - INFO - Backtest progress: Step 3241 | Time: 2025-10-29 23:24:00 | Speed: 0.4 steps/sec
2025-12-14 23:00:11 - backtest_runner - INFO - Backtest progress: Step 3251 | Time: 2025-10-29 23:34:00 | Speed: 0.3 steps/sec
2025-12-14 23:00:43 - backtest_runner - INFO - Backtest progress: Step 3260 | Time: 2025-10-29 23:43:00 | Speed: 0.3 steps/sec
2025-12-14 23:01:14 - backtest_runner - INFO - Backtest progress: Step 3270 | Time: 2025-10-29 23:53:00 | Speed: 0.3 steps/sec
2025-12-14 23:01:45 - backtest_runner - INFO - Backtest progress: Step 3285 | Time: 2025-10-30 00:08:00 | Speed: 0.5 steps/sec
2025-12-14 23:02:16 - backtest_runner - INFO - Backtest progress: Step 3296 | Time: 2025-10-30 00:19:00 | Speed: 0.4 steps/sec
2025-12-14 23:02:48 - backtest_runner - INFO - Backtest progress: Step 3307 | Time: 2025-10-30 00:30:00 | Speed: 0.3 steps/sec
2025-12-14 23:03:18 - backtest_runner - INFO - Backtest progress: Step 3316 | Time: 2025-10-30 00:39:00 | Speed: 0.3 steps/sec
2025-12-14 23:03:49 - backtest_runner - INFO - Backtest progress: Step 3326 | Time: 2025-10-30 00:49:00 | Speed: 0.3 steps/sec
2025-12-14 23:04:19 - backtest_runner - INFO - Backtest progress: Step 3335 | Time: 2025-10-30 00:58:00 | Speed: 0.3 steps/sec
2025-12-14 23:04:50 - backtest_runner - INFO - Backtest progress: Step 3346 | Time: 2025-10-30 01:09:00 | Speed: 0.3 steps/sec
2025-12-14 23:05:21 - backtest_runner - INFO - Backtest progress: Step 3356 | Time: 2025-10-30 01:19:00 | Speed: 0.3 steps/sec
2025-12-14 23:05:52 - backtest_runner - INFO - Backtest progress: Step 3368 | Time: 2025-10-30 01:31:00 | Speed: 0.4 steps/sec
2025-12-14 23:06:22 - backtest_runner - INFO - Backtest progress: Step 3386 | Time: 2025-10-30 01:49:00 | Speed: 0.6 steps/sec
2025-12-14 23:06:57 - backtest_runner - INFO - Backtest progress: Step 3399 | Time: 2025-10-30 02:02:00 | Speed: 0.4 steps/sec
2025-12-14 23:07:28 - backtest_runner - INFO - Backtest progress: Step 3415 | Time: 2025-10-30 02:18:00 | Speed: 0.5 steps/sec
2025-12-14 23:07:58 - backtest_runner - INFO - Backtest progress: Step 3432 | Time: 2025-10-30 02:35:00 | Speed: 0.6 steps/sec
2025-12-14 23:08:29 - backtest_runner - INFO - Backtest progress: Step 3451 | Time: 2025-10-30 02:54:00 | Speed: 0.6 steps/sec
2025-12-14 23:09:01 - backtest_runner - INFO - Backtest progress: Step 3471 | Time: 2025-10-30 03:14:00 | Speed: 0.6 steps/sec
2025-12-14 23:09:33 - backtest_runner - INFO - Backtest progress: Step 3488 | Time: 2025-10-30 03:31:00 | Speed: 0.5 steps/sec
2025-12-14 23:10:04 - backtest_runner - INFO - Backtest progress: Step 3507 | Time: 2025-10-30 03:50:00 | Speed: 0.6 steps/sec
2025-12-14 23:10:34 - backtest_runner - INFO - Backtest progress: Step 3524 | Time: 2025-10-30 04:07:00 | Speed: 0.6 steps/sec
2025-12-14 23:11:06 - backtest_runner - INFO - Backtest progress: Step 3541 | Time: 2025-10-30 04:24:00 | Speed: 0.5 steps/sec
2025-12-14 23:11:37 - backtest_runner - INFO - Backtest progress: Step 3557 | Time: 2025-10-30 04:40:00 | Speed: 0.5 steps/sec
2025-12-14 23:12:08 - backtest_runner - INFO - Backtest progress: Step 3572 | Time: 2025-10-30 04:55:00 | Speed: 0.5 steps/sec
2025-12-14 23:12:38 - backtest_runner - INFO - Backtest progress: Step 3591 | Time: 2025-10-30 05:14:00 | Speed: 0.6 steps/sec
2025-12-14 23:13:11 - backtest_runner - INFO - Backtest progress: Step 3609 | Time: 2025-10-30 05:32:00 | Speed: 0.6 steps/sec
2025-12-14 23:13:42 - backtest_runner - INFO - Backtest progress: Step 3626 | Time: 2025-10-30 05:49:00 | Speed: 0.5 steps/sec
2025-12-14 23:14:12 - backtest_runner - INFO - Backtest progress: Step 3644 | Time: 2025-10-30 06:07:00 | Speed: 0.6 steps/sec
2025-12-14 23:14:44 - backtest_runner - INFO - Backtest progress: Step 3660 | Time: 2025-10-30 06:23:00 | Speed: 0.5 steps/sec
2025-12-14 23:15:14 - backtest_runner - INFO - Backtest progress: Step 3675 | Time: 2025-10-30 06:38:00 | Speed: 0.5 steps/sec
2025-12-14 23:15:44 - backtest_runner - INFO - Backtest progress: Step 3692 | Time: 2025-10-30 06:55:00 | Speed: 0.6 steps/sec
2025-12-14 23:16:15 - backtest_runner - INFO - Backtest progress: Step 3710 | Time: 2025-10-30 07:13:00 | Speed: 0.6 steps/sec
2025-12-14 23:16:45 - backtest_runner - INFO - Backtest progress: Step 3727 | Time: 2025-10-30 07:30:00 | Speed: 0.6 steps/sec
2025-12-14 23:17:35 - backtest_runner - INFO - Backtest progress: Step 3737 | Time: 2025-10-30 07:40:00 | Speed: 0.2 steps/sec
2025-12-14 23:18:07 - backtest_runner - INFO - Backtest progress: Step 3752 | Time: 2025-10-30 07:55:00 | Speed: 0.5 steps/sec
2025-12-14 23:18:40 - backtest_runner - INFO - Backtest progress: Step 3766 | Time: 2025-10-30 08:09:00 | Speed: 0.4 steps/sec
2025-12-14 23:19:10 - backtest_runner - INFO - Backtest progress: Step 3782 | Time: 2025-10-30 08:25:00 | Speed: 0.5 steps/sec
2025-12-14 23:19:42 - backtest_runner - INFO - Backtest progress: Step 3797 | Time: 2025-10-30 08:40:00 | Speed: 0.5 steps/sec
2025-12-14 23:20:15 - backtest_runner - INFO - Backtest progress: Step 3809 | Time: 2025-10-30 08:52:00 | Speed: 0.4 steps/sec
2025-12-14 23:20:46 - backtest_runner - INFO - Backtest progress: Step 3824 | Time: 2025-10-30 09:07:00 | Speed: 0.5 steps/sec
2025-12-14 23:21:17 - backtest_runner - INFO - Backtest progress: Step 3840 | Time: 2025-10-30 09:23:00 | Speed: 0.5 steps/sec
2025-12-14 23:21:47 - backtest_runner - INFO - Backtest progress: Step 3857 | Time: 2025-10-30 09:40:00 | Speed: 0.6 steps/sec
2025-12-14 23:22:19 - backtest_runner - INFO - Backtest progress: Step 3871 | Time: 2025-10-30 09:54:00 | Speed: 0.4 steps/sec
2025-12-14 23:22:49 - backtest_runner - INFO - Backtest progress: Step 3883 | Time: 2025-10-30 10:06:00 | Speed: 0.4 steps/sec
2025-12-14 23:23:21 - backtest_runner - INFO - Backtest progress: Step 3898 | Time: 2025-10-30 10:21:00 | Speed: 0.5 steps/sec
2025-12-14 23:23:51 - backtest_runner - INFO - Backtest progress: Step 3914 | Time: 2025-10-30 10:37:00 | Speed: 0.5 steps/sec
2025-12-14 23:24:23 - backtest_runner - INFO - Backtest progress: Step 3927 | Time: 2025-10-30 10:50:00 | Speed: 0.4 steps/sec
