2025-12-19 00:04:25 - lightweight_realtime - INFO - [2025-12-19 00:04:25.843] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:26 - lightweight_realtime - INFO - [2025-12-19 00:04:26.865] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:27 - lightweight_realtime - INFO - [2025-12-19 00:04:27.894] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:28 - lightweight_realtime - INFO - [2025-12-19 00:04:28.916] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:29 - lightweight_realtime - INFO - [2025-12-19 00:04:29.934] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:30 - lightweight_realtime - INFO - [2025-12-19 00:04:30.954] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:31 - lightweight_realtime - INFO - [2025-12-19 00:04:31.971] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:32 - lightweight_realtime - INFO - [2025-12-19 00:04:32.984] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:34 - lightweight_realtime - INFO - [2025-12-19 00:04:34.008] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:35 - lightweight_realtime - INFO - [2025-12-19 00:04:35.028] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:36 - lightweight_realtime - INFO - [2025-12-19 00:04:36.056] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:37 - lightweight_realtime - INFO - [2025-12-19 00:04:37.072] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:38 - lightweight_realtime - INFO - [2025-12-19 00:04:38.093] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:39 - lightweight_realtime - INFO - [2025-12-19 00:04:39.119] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:40 - lightweight_realtime - INFO - [2025-12-19 00:04:40.138] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:41 - lightweight_realtime - INFO - [2025-12-19 00:04:41.162] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:42 - lightweight_realtime - INFO - [2025-12-19 00:04:42.183] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:43 - lightweight_realtime - INFO - [2025-12-19 00:04:43.198] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:44 - lightweight_realtime - INFO - [2025-12-19 00:04:44.222] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:45 - lightweight_realtime - INFO - [2025-12-19 00:04:45.236] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:46 - lightweight_realtime - INFO - [2025-12-19 00:04:46.270] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:47 - lightweight_realtime - INFO - [2025-12-19 00:04:47.289] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:48 - lightweight_realtime - INFO - [2025-12-19 00:04:48.317] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:49 - lightweight_realtime - INFO - [2025-12-19 00:04:49.334] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:50 - lightweight_realtime - INFO - [2025-12-19 00:04:50.358] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:51 - lightweight_realtime - INFO - [2025-12-19 00:04:51.382] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:52 - lightweight_realtime - INFO - [2025-12-19 00:04:52.406] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:53 - lightweight_realtime - INFO - [2025-12-19 00:04:53.432] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:54 - lightweight_realtime - INFO - [2025-12-19 00:04:54.448] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:55 - lightweight_realtime - INFO - [2025-12-19 00:04:55.468] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:56 - lightweight_realtime - INFO - [2025-12-19 00:04:56.492] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:57 - lightweight_realtime - INFO - [2025-12-19 00:04:57.502] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:58 - lightweight_realtime - INFO - [2025-12-19 00:04:58.525] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:04:59 - lightweight_realtime - INFO - [2025-12-19 00:04:59.536] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:05:00 - lightweight_realtime - INFO - [2025-12-19 00:05:00.561] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:05:01 - lightweight_realtime - INFO - [2025-12-19 00:05:01.587] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 00:05:02 - lightweight_realtime - INFO - [2025-12-19 00:05:02.605] Positions: 1 | State: SCANNING | Symbol: US30_x10m
2025-12-19 00:05:03 - lightweight_realtime - INFO - [2025-12-19 00:05:03.647] Positions: 1 | State: SCANNING | Symbol: AMZNm
2025-12-19 00:05:04 - lightweight_realtime - INFO - [2025-12-19 00:05:04.682] Positions: 1 | State: SCANNING | Symbol: CSCOm
2025-12-19 00:05:05 - lightweight_realtime - INFO - [2025-12-19 00:05:05.701] Positions: 1 | State: SCANNING | Symbol: NKEm
2025-12-19 00:05:06 - lightweight_realtime - INFO - [2025-12-19 00:05:06.730] Positions: 1 | State: SCANNING | Symbol: USOILm
2025-12-19 00:05:07 - lightweight_realtime - INFO - [2025-12-19 00:05:07.753] Positions: 1 | State: SCANNING | Symbol: XAGGBPm
2025-12-19 00:05:08 - lightweight_realtime - INFO - [2025-12-19 00:05:08.769] Positions: 1 | State: SCANNING | Symbol: DXYm
2025-12-19 00:05:09 - lightweight_realtime - INFO - [2025-12-19 00:05:09.792] Positions: 1 | State: SCANNING | Symbol: NFLXm
2025-12-19 00:05:10 - lightweight_realtime - INFO - [2025-12-19 00:05:10.853] Positions: 1 | State: SCANNING | Symbol: TMOm
2025-12-19 00:05:11 - lightweight_realtime - INFO - [2025-12-19 00:05:11.871] Positions: 1 | State: SCANNING | Symbol: EDUm
2025-12-19 00:05:12 - lightweight_realtime - INFO - [2025-12-19 00:05:12.892] Positions: 1 | State: SCANNING | Symbol: NZDMXNm
