2025-12-17 17:25:05 - lightweight_realtime - INFO - [2025-12-17 17:25:05.695] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-17 17:25:06 - lightweight_realtime - INFO - [2025-12-17 17:25:06.785] Positions: 0 | State: SCANNING | Symbol: US500m
2025-12-17 17:25:07 - lightweight_realtime - INFO - [2025-12-17 17:25:07.804] Positions: 0 | State: SCANNING | Symbol: HK50m
2025-12-17 17:25:08 - lightweight_realtime - INFO - [2025-12-17 17:25:08.913] Positions: 0 | State: SCANNING | Symbol: BEKEm
2025-12-17 17:25:09 - lightweight_realtime - INFO - [2025-12-17 17:25:09.929] Positions: 0 | State: SCANNING | Symbol: INTCm
2025-12-17 17:25:10 - lightweight_realtime - INFO - [2025-12-17 17:25:10.942] Positions: 0 | State: SCANNING | Symbol: PEPm
2025-12-17 17:25:12 - lightweight_realtime - INFO - [2025-12-17 17:25:12.811] Positions: 0 | State: SCANNING | Symbol: NZDUSDm
2025-12-17 17:25:13 - lightweight_realtime - INFO - [2025-12-17 17:25:13.910] Positions: 0 | State: SCANNING | Symbol: EURCHFm
2025-12-17 17:25:15 - lightweight_realtime - INFO - [2025-12-17 17:25:15.005] Positions: 0 | State: SCANNING | Symbol: UNHm
2025-12-17 17:25:16 - lightweight_realtime - INFO - [2025-12-17 17:25:16.336] Positions: 0 | State: SCANNING | Symbol: GBPNZDm
2025-12-17 17:25:17 - lightweight_realtime - INFO - [2025-12-17 17:25:17.433] Positions: 0 | State: SCANNING | Symbol: ISRGm
2025-12-17 17:25:18 - lightweight_realtime - INFO - [2025-12-17 17:25:18.614] Positions: 0 | State: SCANNING | Symbol: XPDUSDm
2025-12-17 17:25:19 - lightweight_realtime - INFO - [2025-12-17 17:25:19.627] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-17 17:25:20 - lightweight_realtime - INFO - [2025-12-17 17:25:20.667] Positions: 0 | State: SCANNING | Symbol: USDPLNm
2025-12-17 17:25:22 - lightweight_realtime - INFO - [2025-12-17 17:25:22.160] Positions: 0 | State: SCANNING | Symbol: EURZARm
2025-12-17 17:25:23 - lightweight_realtime - INFO - [2025-12-17 17:25:23.250] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:24 - lightweight_realtime - INFO - [2025-12-17 17:25:24.687] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:26 - lightweight_realtime - INFO - [2025-12-17 17:25:26.132] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:27 - lightweight_realtime - INFO - [2025-12-17 17:25:27.146] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:28 - lightweight_realtime - INFO - [2025-12-17 17:25:28.186] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:29 - lightweight_realtime - INFO - [2025-12-17 17:25:29.227] Positions: 0 | State: IDLE | Symbol: N/A
