2025-12-18 21:42:20 - lightweight_realtime - INFO - [2025-12-18 21:42:20.220] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:21 - lightweight_realtime - INFO - [2025-12-18 21:42:21.248] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:22 - lightweight_realtime - INFO - [2025-12-18 21:42:22.257] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:23 - lightweight_realtime - INFO - [2025-12-18 21:42:23.271] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:24 - lightweight_realtime - INFO - [2025-12-18 21:42:24.320] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:25 - lightweight_realtime - INFO - [2025-12-18 21:42:25.343] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:26 - lightweight_realtime - INFO - [2025-12-18 21:42:26.354] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:27 - lightweight_realtime - INFO - [2025-12-18 21:42:27.431] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:28 - lightweight_realtime - INFO - [2025-12-18 21:42:28.452] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:29 - lightweight_realtime - INFO - [2025-12-18 21:42:29.468] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:30 - lightweight_realtime - INFO - [2025-12-18 21:42:30.921] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:32 - lightweight_realtime - INFO - [2025-12-18 21:42:32.023] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:33 - lightweight_realtime - INFO - [2025-12-18 21:42:33.040] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:34 - lightweight_realtime - INFO - [2025-12-18 21:42:34.067] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:35 - lightweight_realtime - INFO - [2025-12-18 21:42:35.098] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:36 - lightweight_realtime - INFO - [2025-12-18 21:42:36.132] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:37 - lightweight_realtime - INFO - [2025-12-18 21:42:37.145] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:38 - lightweight_realtime - INFO - [2025-12-18 21:42:38.170] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:39 - lightweight_realtime - INFO - [2025-12-18 21:42:39.199] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:40 - lightweight_realtime - INFO - [2025-12-18 21:42:40.211] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:41 - lightweight_realtime - INFO - [2025-12-18 21:42:41.241] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:42 - lightweight_realtime - INFO - [2025-12-18 21:42:42.261] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:43 - lightweight_realtime - INFO - [2025-12-18 21:42:43.289] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:44 - lightweight_realtime - INFO - [2025-12-18 21:42:44.306] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:45 - lightweight_realtime - INFO - [2025-12-18 21:42:45.326] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:46 - lightweight_realtime - INFO - [2025-12-18 21:42:46.333] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:47 - lightweight_realtime - INFO - [2025-12-18 21:42:47.357] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:48 - lightweight_realtime - INFO - [2025-12-18 21:42:48.382] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:49 - lightweight_realtime - INFO - [2025-12-18 21:42:49.390] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:50 - lightweight_realtime - INFO - [2025-12-18 21:42:50.416] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:51 - lightweight_realtime - INFO - [2025-12-18 21:42:51.436] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:52 - lightweight_realtime - INFO - [2025-12-18 21:42:52.454] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:53 - lightweight_realtime - INFO - [2025-12-18 21:42:53.463] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:54 - lightweight_realtime - INFO - [2025-12-18 21:42:54.491] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:55 - lightweight_realtime - INFO - [2025-12-18 21:42:55.506] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:56 - lightweight_realtime - INFO - [2025-12-18 21:42:56.517] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:57 - lightweight_realtime - INFO - [2025-12-18 21:42:57.540] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:42:58 - lightweight_realtime - INFO - [2025-12-18 21:42:58.554] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
