2025-12-14 22:28:09 - lightweight_realtime - INFO - [2025-12-14 22:28:09.669] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:10 - lightweight_realtime - INFO - [2025-12-14 22:28:10.697] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:11 - lightweight_realtime - INFO - [2025-12-14 22:28:11.828] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:12 - lightweight_realtime - INFO - [2025-12-14 22:28:12.845] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-14 22:28:16 - lightweight_realtime - INFO - [2025-12-14 22:28:16.905] Positions: 0 | State: SCANNING | Symbol: HKDJPYm
2025-12-14 22:28:17 - lightweight_realtime - INFO - [2025-12-14 22:28:17.937] Positions: 0 | State: SCANNING | Symbol: AUDZARm
2025-12-14 22:28:19 - lightweight_realtime - INFO - [2025-12-14 22:28:19.079] Positions: 0 | State: SCANNING | Symbol: GBPJPYm
2025-12-14 22:28:20 - lightweight_realtime - INFO - [2025-12-14 22:28:20.122] Positions: 0 | State: SCANNING | Symbol: EURAUDm
2025-12-14 22:28:21 - lightweight_realtime - INFO - [2025-12-14 22:28:21.256] Positions: 0 | State: SCANNING | Symbol: NZDPLNm
2025-12-14 22:28:23 - lightweight_realtime - INFO - [2025-12-14 22:28:23.684] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:24 - lightweight_realtime - INFO - [2025-12-14 22:28:24.710] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:25 - lightweight_realtime - INFO - [2025-12-14 22:28:25.729] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:26 - lightweight_realtime - INFO - [2025-12-14 22:28:26.752] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:27 - lightweight_realtime - INFO - [2025-12-14 22:28:27.777] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:28 - lightweight_realtime - INFO - [2025-12-14 22:28:28.800] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:29 - lightweight_realtime - INFO - [2025-12-14 22:28:29.833] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:30 - lightweight_realtime - INFO - [2025-12-14 22:28:30.898] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:31 - lightweight_realtime - INFO - [2025-12-14 22:28:31.928] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:32 - lightweight_realtime - INFO - [2025-12-14 22:28:32.944] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:33 - lightweight_realtime - INFO - [2025-12-14 22:28:33.966] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:34 - lightweight_realtime - INFO - [2025-12-14 22:28:34.994] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:36 - lightweight_realtime - INFO - [2025-12-14 22:28:36.014] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:37 - lightweight_realtime - INFO - [2025-12-14 22:28:37.033] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:38 - lightweight_realtime - INFO - [2025-12-14 22:28:38.054] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:39 - lightweight_realtime - INFO - [2025-12-14 22:28:39.063] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:40 - lightweight_realtime - INFO - [2025-12-14 22:28:40.075] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:41 - lightweight_realtime - INFO - [2025-12-14 22:28:41.143] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:42 - lightweight_realtime - INFO - [2025-12-14 22:28:42.162] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-14 22:28:43 - lightweight_realtime - INFO - [2025-12-14 22:28:43.255] Positions: 0 | State: SCANNING | Symbol: GBPUSDm
2025-12-14 22:28:44 - lightweight_realtime - INFO - [2025-12-14 22:28:44.357] Positions: 0 | State: SCANNING | Symbol: AUDCADm
2025-12-14 22:28:45 - lightweight_realtime - INFO - [2025-12-14 22:28:45.414] Positions: 0 | State: SCANNING | Symbol: GBPJPYm
2025-12-14 22:28:46 - lightweight_realtime - INFO - [2025-12-14 22:28:46.421] Positions: 0 | State: SCANNING | Symbol: GBPAUDm
2025-12-14 22:28:47 - lightweight_realtime - INFO - [2025-12-14 22:28:47.433] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-14 22:28:48 - lightweight_realtime - INFO - [2025-12-14 22:28:48.475] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:49 - lightweight_realtime - INFO - [2025-12-14 22:28:49.488] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:50 - lightweight_realtime - INFO - [2025-12-14 22:28:50.510] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:51 - lightweight_realtime - INFO - [2025-12-14 22:28:51.532] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:52 - lightweight_realtime - INFO - [2025-12-14 22:28:52.591] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:53 - lightweight_realtime - INFO - [2025-12-14 22:28:53.615] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:54 - lightweight_realtime - INFO - [2025-12-14 22:28:54.630] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:55 - lightweight_realtime - INFO - [2025-12-14 22:28:55.651] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:56 - lightweight_realtime - INFO - [2025-12-14 22:28:56.682] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:57 - lightweight_realtime - INFO - [2025-12-14 22:28:57.699] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:58 - lightweight_realtime - INFO - [2025-12-14 22:28:58.777] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:28:59 - lightweight_realtime - INFO - [2025-12-14 22:28:59.956] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:00 - lightweight_realtime - INFO - [2025-12-14 22:29:00.993] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:02 - lightweight_realtime - INFO - [2025-12-14 22:29:02.062] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:03 - lightweight_realtime - INFO - [2025-12-14 22:29:03.089] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:04 - lightweight_realtime - INFO - [2025-12-14 22:29:04.116] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:05 - lightweight_realtime - INFO - [2025-12-14 22:29:05.149] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:06 - lightweight_realtime - INFO - [2025-12-14 22:29:06.189] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:07 - lightweight_realtime - INFO - [2025-12-14 22:29:07.210] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:08 - lightweight_realtime - INFO - [2025-12-14 22:29:08.241] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-14 22:29:09 - lightweight_realtime - INFO - [2025-12-14 22:29:09.406] Positions: 0 | State: SCANNING | Symbol: NZDUSDm
2025-12-14 22:29:10 - lightweight_realtime - INFO - [2025-12-14 22:29:10.430] Positions: 0 | State: SCANNING | Symbol: EURCHFm
2025-12-14 22:29:11 - lightweight_realtime - INFO - [2025-12-14 22:29:11.453] Positions: 0 | State: SCANNING | Symbol: EURSGDm
2025-12-14 22:29:12 - lightweight_realtime - INFO - [2025-12-14 22:29:12.471] Positions: 0 | State: SCANNING | Symbol: SGDHKDm
2025-12-14 22:29:13 - lightweight_realtime - INFO - [2025-12-14 22:29:13.475] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:14 - lightweight_realtime - INFO - [2025-12-14 22:29:14.506] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:15 - lightweight_realtime - INFO - [2025-12-14 22:29:15.752] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:16 - lightweight_realtime - INFO - [2025-12-14 22:29:16.770] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:17 - lightweight_realtime - INFO - [2025-12-14 22:29:17.787] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:18 - lightweight_realtime - INFO - [2025-12-14 22:29:18.805] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:19 - lightweight_realtime - INFO - [2025-12-14 22:29:19.832] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:20 - lightweight_realtime - INFO - [2025-12-14 22:29:20.849] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:21 - lightweight_realtime - INFO - [2025-12-14 22:29:21.860] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:22 - lightweight_realtime - INFO - [2025-12-14 22:29:22.886] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:23 - lightweight_realtime - INFO - [2025-12-14 22:29:23.902] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:24 - lightweight_realtime - INFO - [2025-12-14 22:29:24.924] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:25 - lightweight_realtime - INFO - [2025-12-14 22:29:25.943] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:26 - lightweight_realtime - INFO - [2025-12-14 22:29:26.964] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:28 - lightweight_realtime - INFO - [2025-12-14 22:29:28.023] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:29 - lightweight_realtime - INFO - [2025-12-14 22:29:29.042] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:30 - lightweight_realtime - INFO - [2025-12-14 22:29:30.070] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:31 - lightweight_realtime - INFO - [2025-12-14 22:29:31.095] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:32 - lightweight_realtime - INFO - [2025-12-14 22:29:32.118] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:33 - lightweight_realtime - INFO - [2025-12-14 22:29:33.145] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-14 22:29:34 - lightweight_realtime - INFO - [2025-12-14 22:29:34.221] Positions: 0 | State: SCANNING | Symbol: USDJPYm
2025-12-14 22:29:35 - lightweight_realtime - INFO - [2025-12-14 22:29:35.251] Positions: 0 | State: SCANNING | Symbol: CADTRYm
2025-12-14 22:29:36 - lightweight_realtime - INFO - [2025-12-14 22:29:36.276] Positions: 0 | State: SCANNING | Symbol: AUDNZDm
