2025-12-23 10:00:58 - lightweight_realtime - INFO - [2025-12-23 10:00:58.763] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:00:59 - lightweight_realtime - INFO - [2025-12-23 10:00:59.773] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:00 - lightweight_realtime - INFO - [2025-12-23 10:01:00.784] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:01 - lightweight_realtime - INFO - [2025-12-23 10:01:01.815] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:02 - lightweight_realtime - INFO - [2025-12-23 10:01:02.929] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:03 - lightweight_realtime - INFO - [2025-12-23 10:01:03.952] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:04 - lightweight_realtime - INFO - [2025-12-23 10:01:04.977] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:06 - lightweight_realtime - INFO - [2025-12-23 10:01:06.003] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:07 - lightweight_realtime - INFO - [2025-12-23 10:01:07.030] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:08 - lightweight_realtime - INFO - [2025-12-23 10:01:08.048] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:09 - lightweight_realtime - INFO - [2025-12-23 10:01:09.060] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:10 - lightweight_realtime - INFO - [2025-12-23 10:01:10.087] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:11 - lightweight_realtime - INFO - [2025-12-23 10:01:11.096] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:12 - lightweight_realtime - INFO - [2025-12-23 10:01:12.121] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:13 - lightweight_realtime - INFO - [2025-12-23 10:01:13.143] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:14 - lightweight_realtime - INFO - [2025-12-23 10:01:14.170] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:15 - lightweight_realtime - INFO - [2025-12-23 10:01:15.190] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:16 - lightweight_realtime - INFO - [2025-12-23 10:01:16.199] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:17 - lightweight_realtime - INFO - [2025-12-23 10:01:17.208] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:18 - lightweight_realtime - INFO - [2025-12-23 10:01:18.231] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:19 - lightweight_realtime - INFO - [2025-12-23 10:01:19.238] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:20 - lightweight_realtime - INFO - [2025-12-23 10:01:20.265] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:21 - lightweight_realtime - INFO - [2025-12-23 10:01:21.306] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:22 - lightweight_realtime - INFO - [2025-12-23 10:01:22.321] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:23 - lightweight_realtime - INFO - [2025-12-23 10:01:23.334] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:24 - lightweight_realtime - INFO - [2025-12-23 10:01:24.354] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:25 - lightweight_realtime - INFO - [2025-12-23 10:01:25.365] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:26 - lightweight_realtime - INFO - [2025-12-23 10:01:26.392] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:27 - lightweight_realtime - INFO - [2025-12-23 10:01:27.416] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:28 - lightweight_realtime - INFO - [2025-12-23 10:01:28.439] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:29 - lightweight_realtime - INFO - [2025-12-23 10:01:29.458] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:30 - lightweight_realtime - INFO - [2025-12-23 10:01:30.472] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:31 - lightweight_realtime - INFO - [2025-12-23 10:01:31.497] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:32 - lightweight_realtime - INFO - [2025-12-23 10:01:32.520] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:33 - lightweight_realtime - INFO - [2025-12-23 10:01:33.531] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:34 - lightweight_realtime - INFO - [2025-12-23 10:01:34.554] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:35 - lightweight_realtime - INFO - [2025-12-23 10:01:35.574] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:36 - lightweight_realtime - INFO - [2025-12-23 10:01:36.595] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:37 - lightweight_realtime - INFO - [2025-12-23 10:01:37.617] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:38 - lightweight_realtime - INFO - [2025-12-23 10:01:38.640] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:39 - lightweight_realtime - INFO - [2025-12-23 10:01:39.662] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:40 - lightweight_realtime - INFO - [2025-12-23 10:01:40.687] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:41 - lightweight_realtime - INFO - [2025-12-23 10:01:41.704] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:42 - lightweight_realtime - INFO - [2025-12-23 10:01:42.725] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:43 - lightweight_realtime - INFO - [2025-12-23 10:01:43.752] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:44 - lightweight_realtime - INFO - [2025-12-23 10:01:44.763] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:45 - lightweight_realtime - INFO - [2025-12-23 10:01:45.782] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:46 - lightweight_realtime - INFO - [2025-12-23 10:01:46.794] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:47 - lightweight_realtime - INFO - [2025-12-23 10:01:47.813] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-23 10:01:48 - lightweight_realtime - INFO - [2025-12-23 10:01:48.828] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-23 10:01:49 - lightweight_realtime - INFO - [2025-12-23 10:01:49.895] Positions: 0 | State: SCANNING | Symbol: USTEC_x100m
2025-12-23 10:01:50 - lightweight_realtime - INFO - [2025-12-23 10:01:50.932] Positions: 0 | State: SCANNING | Symbol: XCUUSDm
2025-12-23 10:01:51 - lightweight_realtime - INFO - [2025-12-23 10:01:51.944] Positions: 0 | State: SCANNING | Symbol: AUDCADm
2025-12-23 10:01:52 - lightweight_realtime - INFO - [2025-12-23 10:01:52.971] Positions: 0 | State: SCANNING | Symbol: HKDJPYm
2025-12-23 10:01:53 - lightweight_realtime - INFO - [2025-12-23 10:01:53.980] Positions: 0 | State: SCANNING | Symbol: XPTUSDm
2025-12-23 10:01:55 - lightweight_realtime - INFO - [2025-12-23 10:01:55.028] Positions: 0 | State: SCANNING | Symbol: GBPSEKm
