2025-12-22 07:43:38 - lightweight_realtime - INFO - [2025-12-22 07:43:38.843] Positions: 0 | State: SCANNING | Symbol: CHFDKKm
2025-12-22 07:43:40 - lightweight_realtime - INFO - [2025-12-22 07:43:40.527] Positions: 0 | State: SCANNING | Symbol: NZDDKKm
2025-12-22 07:43:41 - lightweight_realtime - INFO - [2025-12-22 07:43:41.809] Positions: 0 | State: SCANNING | Symbol: PLNDKKm
2025-12-22 07:43:43 - lightweight_realtime - INFO - [2025-12-22 07:43:43.963] Positions: 0 | State: SCANNING | Symbol: AUDZARm
2025-12-22 07:43:45 - lightweight_realtime - INFO - [2025-12-22 07:43:45.003] Positions: 0 | State: SCANNING | Symbol: USDTHBm
2025-12-22 07:43:46 - lightweight_realtime - INFO - [2025-12-22 07:43:46.043] Positions: 0 | State: SCANNING | Symbol: PLNJPYm
2025-12-22 07:43:47 - lightweight_realtime - INFO - [2025-12-22 07:43:47.723] Positions: 0 | State: SCANNING | Symbol: AUDSEKm
2025-12-22 07:43:50 - lightweight_realtime - INFO - [2025-12-22 07:43:50.603] Positions: 0 | State: SCANNING | Symbol: EURSEKm
2025-12-22 07:43:51 - lightweight_realtime - INFO - [2025-12-22 07:43:51.807] Positions: 0 | State: SCANNING | Symbol: NZDNOKm
2025-12-22 07:43:52 - lightweight_realtime - INFO - [2025-12-22 07:43:52.844] Positions: 0 | State: SCANNING | Symbol: EURZARm
2025-12-22 07:43:53 - lightweight_realtime - INFO - [2025-12-22 07:43:53.963] Positions: 0 | State: SCANNING | Symbol: NZDSEKm
2025-12-22 07:43:55 - lightweight_realtime - INFO - [2025-12-22 07:43:55.168] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-22 07:43:56 - lightweight_realtime - INFO - [2025-12-22 07:43:56.286] Positions: 0 | State: ENTERING TRADE | Symbol: XAUUSDm
2025-12-22 07:43:57 - lightweight_realtime - INFO - [2025-12-22 07:43:57.491] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:43:59 - lightweight_realtime - INFO - [2025-12-22 07:43:58.928] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:00 - lightweight_realtime - INFO - [2025-12-22 07:44:00.283] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:02 - lightweight_realtime - INFO - [2025-12-22 07:44:01.723] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:03 - lightweight_realtime - INFO - [2025-12-22 07:44:03.743] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:05 - lightweight_realtime - INFO - [2025-12-22 07:44:05.087] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:06 - lightweight_realtime - INFO - [2025-12-22 07:44:06.683] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:08 - lightweight_realtime - INFO - [2025-12-22 07:44:07.966] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:09 - lightweight_realtime - INFO - [2025-12-22 07:44:09.483] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:10 - lightweight_realtime - INFO - [2025-12-22 07:44:10.524] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:11 - lightweight_realtime - INFO - [2025-12-22 07:44:11.963] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:13 - lightweight_realtime - INFO - [2025-12-22 07:44:13.003] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:14 - lightweight_realtime - INFO - [2025-12-22 07:44:14.363] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:15 - lightweight_realtime - INFO - [2025-12-22 07:44:15.563] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:16 - lightweight_realtime - INFO - [2025-12-22 07:44:16.606] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:18 - lightweight_realtime - INFO - [2025-12-22 07:44:18.046] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:19 - lightweight_realtime - INFO - [2025-12-22 07:44:19.645] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:21 - lightweight_realtime - INFO - [2025-12-22 07:44:21.007] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:22 - lightweight_realtime - INFO - [2025-12-22 07:44:22.923] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:24 - lightweight_realtime - INFO - [2025-12-22 07:44:23.968] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:25 - lightweight_realtime - INFO - [2025-12-22 07:44:25.324] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:26 - lightweight_realtime - INFO - [2025-12-22 07:44:26.448] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:28 - lightweight_realtime - INFO - [2025-12-22 07:44:28.284] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:29 - lightweight_realtime - INFO - [2025-12-22 07:44:29.327] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:30 - lightweight_realtime - INFO - [2025-12-22 07:44:30.767] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:32 - lightweight_realtime - INFO - [2025-12-22 07:44:32.523] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:34 - lightweight_realtime - INFO - [2025-12-22 07:44:34.123] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:35 - lightweight_realtime - INFO - [2025-12-22 07:44:35.327] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:36 - lightweight_realtime - INFO - [2025-12-22 07:44:36.363] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:37 - lightweight_realtime - INFO - [2025-12-22 07:44:37.967] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:39 - lightweight_realtime - INFO - [2025-12-22 07:44:39.328] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:40 - lightweight_realtime - INFO - [2025-12-22 07:44:40.443] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:42 - lightweight_realtime - INFO - [2025-12-22 07:44:41.964] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:43 - lightweight_realtime - INFO - [2025-12-22 07:44:43.410] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:44 - lightweight_realtime - INFO - [2025-12-22 07:44:44.523] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
