2025-12-15 12:32:44 - lightweight_realtime - INFO - [2025-12-15 12:32:44.289] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:45 - lightweight_realtime - INFO - [2025-12-15 12:32:45.300] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:46 - lightweight_realtime - INFO - [2025-12-15 12:32:46.304] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:47 - lightweight_realtime - INFO - [2025-12-15 12:32:47.327] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:48 - lightweight_realtime - INFO - [2025-12-15 12:32:48.345] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:49 - lightweight_realtime - INFO - [2025-12-15 12:32:49.358] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-15 12:32:50 - lightweight_realtime - INFO - [2025-12-15 12:32:50.419] Positions: 0 | State: SCANNING | Symbol: US500m
2025-12-15 12:32:51 - lightweight_realtime - INFO - [2025-12-15 12:32:51.438] Positions: 0 | State: SCANNING | Symbol: EURGBPm
2025-12-15 12:32:52 - lightweight_realtime - INFO - [2025-12-15 12:32:52.461] Positions: 0 | State: SCANNING | Symbol: GBPAUDm
2025-12-15 12:32:53 - lightweight_realtime - INFO - [2025-12-15 12:32:53.541] Positions: 0 | State: SCANNING | Symbol: SGDJPYm
2025-12-15 12:32:54 - lightweight_realtime - INFO - [2025-12-15 12:32:54.663] Positions: 0 | State: SCANNING | Symbol: USDILSm
2025-12-15 12:32:55 - lightweight_realtime - INFO - [2025-12-15 12:32:55.686] Positions: 0 | State: SCANNING | Symbol: PLNDKKm
2025-12-15 12:32:56 - lightweight_realtime - INFO - [2025-12-15 12:32:56.695] Positions: 0 | State: SCANNING | Symbol: EURZARm
2025-12-15 12:32:57 - lightweight_realtime - INFO - [2025-12-15 12:32:57.725] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:58 - lightweight_realtime - INFO - [2025-12-15 12:32:58.833] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:32:59 - lightweight_realtime - INFO - [2025-12-15 12:32:59.856] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:00 - lightweight_realtime - INFO - [2025-12-15 12:33:00.864] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:01 - lightweight_realtime - INFO - [2025-12-15 12:33:01.942] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:02 - lightweight_realtime - INFO - [2025-12-15 12:33:02.955] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:03 - lightweight_realtime - INFO - [2025-12-15 12:33:03.976] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:05 - lightweight_realtime - INFO - [2025-12-15 12:33:05.042] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:06 - lightweight_realtime - INFO - [2025-12-15 12:33:06.058] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:07 - lightweight_realtime - INFO - [2025-12-15 12:33:07.067] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:08 - lightweight_realtime - INFO - [2025-12-15 12:33:08.094] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:09 - lightweight_realtime - INFO - [2025-12-15 12:33:09.120] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:10 - lightweight_realtime - INFO - [2025-12-15 12:33:10.133] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:11 - lightweight_realtime - INFO - [2025-12-15 12:33:11.164] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:12 - lightweight_realtime - INFO - [2025-12-15 12:33:12.175] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:13 - lightweight_realtime - INFO - [2025-12-15 12:33:13.189] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:14 - lightweight_realtime - INFO - [2025-12-15 12:33:14.210] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:15 - lightweight_realtime - INFO - [2025-12-15 12:33:15.232] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:16 - lightweight_realtime - INFO - [2025-12-15 12:33:16.240] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:17 - lightweight_realtime - INFO - [2025-12-15 12:33:17.269] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-15 12:33:18 - lightweight_realtime - INFO - [2025-12-15 12:33:18.514] Positions: 0 | State: SCANNING | Symbol: BTCAUDm
2025-12-15 12:33:19 - lightweight_realtime - INFO - [2025-12-15 12:33:19.534] Positions: 0 | State: SCANNING | Symbol: GBPJPYm
2025-12-15 12:33:20 - lightweight_realtime - INFO - [2025-12-15 12:33:20.561] Positions: 0 | State: SCANNING | Symbol: GBPCADm
2025-12-15 12:33:21 - lightweight_realtime - INFO - [2025-12-15 12:33:21.639] Positions: 0 | State: SCANNING | Symbol: CHFSGDm
2025-12-15 12:33:22 - lightweight_realtime - INFO - [2025-12-15 12:33:22.671] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-15 12:33:23 - lightweight_realtime - INFO - [2025-12-15 12:33:23.720] Positions: 0 | State: SCANNING | Symbol: AUDSEKm
2025-12-15 12:33:24 - lightweight_realtime - INFO - [2025-12-15 12:33:24.752] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:25 - lightweight_realtime - INFO - [2025-12-15 12:33:25.777] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:26 - lightweight_realtime - INFO - [2025-12-15 12:33:26.803] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:27 - lightweight_realtime - INFO - [2025-12-15 12:33:27.825] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:28 - lightweight_realtime - INFO - [2025-12-15 12:33:28.834] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:29 - lightweight_realtime - INFO - [2025-12-15 12:33:29.858] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:30 - lightweight_realtime - INFO - [2025-12-15 12:33:30.884] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:31 - lightweight_realtime - INFO - [2025-12-15 12:33:31.963] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:32 - lightweight_realtime - INFO - [2025-12-15 12:33:32.982] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:34 - lightweight_realtime - INFO - [2025-12-15 12:33:34.007] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:35 - lightweight_realtime - INFO - [2025-12-15 12:33:35.031] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:36 - lightweight_realtime - INFO - [2025-12-15 12:33:36.049] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:37 - lightweight_realtime - INFO - [2025-12-15 12:33:37.075] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:38 - lightweight_realtime - INFO - [2025-12-15 12:33:38.099] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:39 - lightweight_realtime - INFO - [2025-12-15 12:33:39.105] Positions: 0 | State: IDLE | Symbol: N/A
