2025-12-22 19:28:32 - lightweight_realtime - INFO - [2025-12-22 19:28:32.697] Positions: 0 | State: SCANNING | Symbol: NKEm
2025-12-22 19:28:34 - lightweight_realtime - INFO - [2025-12-22 19:28:34.452] Positions: 0 | State: SCANNING | Symbol: AAPLm
2025-12-22 19:28:35 - lightweight_realtime - INFO - [2025-12-22 19:28:35.892] Positions: 0 | State: SCANNING | Symbol: Cm
2025-12-22 19:28:37 - lightweight_realtime - INFO - [2025-12-22 19:28:37.495] Positions: 0 | State: SCANNING | Symbol: GILDm
2025-12-22 19:28:38 - lightweight_realtime - INFO - [2025-12-22 19:28:38.695] Positions: 0 | State: SCANNING | Symbol: GILDm
2025-12-22 19:28:39 - lightweight_realtime - INFO - [2025-12-22 19:28:39.816] Positions: 0 | State: SCANNING | Symbol: PYPLm
2025-12-22 19:28:40 - lightweight_realtime - INFO - [2025-12-22 19:28:40.932] Positions: 0 | State: SCANNING | Symbol: WMTm
2025-12-22 19:28:42 - lightweight_realtime - INFO - [2025-12-22 19:28:42.133] Positions: 0 | State: SCANNING | Symbol: JNJm
2025-12-22 19:28:43 - lightweight_realtime - INFO - [2025-12-22 19:28:43.492] Positions: 0 | State: SCANNING | Symbol: MSm
2025-12-22 19:28:45 - lightweight_realtime - INFO - [2025-12-22 19:28:45.896] Positions: 0 | State: SCANNING | Symbol: AMTm
2025-12-22 19:28:47 - lightweight_realtime - INFO - [2025-12-22 19:28:47.572] Positions: 0 | State: SCANNING | Symbol: AMTm
2025-12-22 19:28:48 - lightweight_realtime - INFO - [2025-12-22 19:28:48.860] Positions: 0 | State: SCANNING | Symbol: NZDCHFm
2025-12-22 19:28:50 - lightweight_realtime - INFO - [2025-12-22 19:28:50.292] Positions: 0 | State: SCANNING | Symbol: NVDAm
2025-12-22 19:28:51 - lightweight_realtime - INFO - [2025-12-22 19:28:51.413] Positions: 0 | State: SCANNING | Symbol: TMUSm
2025-12-22 19:28:52 - lightweight_realtime - INFO - [2025-12-22 19:28:52.539] Positions: 0 | State: SCANNING | Symbol: NZDUSDm
2025-12-22 19:28:53 - lightweight_realtime - INFO - [2025-12-22 19:28:53.655] Positions: 0 | State: SCANNING | Symbol: NZDUSDm
2025-12-22 19:28:54 - lightweight_realtime - INFO - [2025-12-22 19:28:54.772] Positions: 0 | State: SCANNING | Symbol: USOILm
2025-12-22 19:28:55 - lightweight_realtime - INFO - [2025-12-22 19:28:55.892] Positions: 0 | State: SCANNING | Symbol: BABAm
2025-12-22 19:28:56 - lightweight_realtime - INFO - [2025-12-22 19:28:56.935] Positions: 0 | State: SCANNING | Symbol: PDDm
2025-12-22 19:28:58 - lightweight_realtime - INFO - [2025-12-22 19:28:58.060] Positions: 0 | State: SCANNING | Symbol: AUDJPYm
2025-12-22 19:28:59 - lightweight_realtime - INFO - [2025-12-22 19:28:59.261] Positions: 0 | State: SCANNING | Symbol: XAGUSDm
