2025-12-22 17:29:30 - lightweight_realtime - INFO - [2025-12-22 17:29:30.155] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:31 - lightweight_realtime - INFO - [2025-12-22 17:29:31.190] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:32 - lightweight_realtime - INFO - [2025-12-22 17:29:32.229] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:33 - lightweight_realtime - INFO - [2025-12-22 17:29:33.258] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:34 - lightweight_realtime - INFO - [2025-12-22 17:29:34.308] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:35 - lightweight_realtime - INFO - [2025-12-22 17:29:35.364] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:36 - lightweight_realtime - INFO - [2025-12-22 17:29:36.396] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:37 - lightweight_realtime - INFO - [2025-12-22 17:29:37.453] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:38 - lightweight_realtime - INFO - [2025-12-22 17:29:38.541] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:39 - lightweight_realtime - INFO - [2025-12-22 17:29:39.578] Positions: 4 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:40 - lightweight_realtime - INFO - [2025-12-22 17:29:40.620] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:41 - lightweight_realtime - INFO - [2025-12-22 17:29:41.651] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:42 - lightweight_realtime - INFO - [2025-12-22 17:29:42.675] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:43 - lightweight_realtime - INFO - [2025-12-22 17:29:43.710] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:44 - lightweight_realtime - INFO - [2025-12-22 17:29:44.753] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:45 - lightweight_realtime - INFO - [2025-12-22 17:29:45.777] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:46 - lightweight_realtime - INFO - [2025-12-22 17:29:46.809] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:47 - lightweight_realtime - INFO - [2025-12-22 17:29:47.833] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:48 - lightweight_realtime - INFO - [2025-12-22 17:29:48.851] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:49 - lightweight_realtime - INFO - [2025-12-22 17:29:49.879] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:50 - lightweight_realtime - INFO - [2025-12-22 17:29:50.908] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:51 - lightweight_realtime - INFO - [2025-12-22 17:29:51.940] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:52 - lightweight_realtime - INFO - [2025-12-22 17:29:52.972] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:54 - lightweight_realtime - INFO - [2025-12-22 17:29:53.999] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:55 - lightweight_realtime - INFO - [2025-12-22 17:29:55.024] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:56 - lightweight_realtime - INFO - [2025-12-22 17:29:56.054] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:57 - lightweight_realtime - INFO - [2025-12-22 17:29:57.086] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:58 - lightweight_realtime - INFO - [2025-12-22 17:29:58.112] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:29:59 - lightweight_realtime - INFO - [2025-12-22 17:29:59.142] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:00 - lightweight_realtime - INFO - [2025-12-22 17:30:00.209] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:01 - lightweight_realtime - INFO - [2025-12-22 17:30:01.252] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:02 - lightweight_realtime - INFO - [2025-12-22 17:30:02.330] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:03 - lightweight_realtime - INFO - [2025-12-22 17:30:03.740] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:04 - lightweight_realtime - INFO - [2025-12-22 17:30:04.770] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:06 - lightweight_realtime - INFO - [2025-12-22 17:30:05.989] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:07 - lightweight_realtime - INFO - [2025-12-22 17:30:07.013] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:08 - lightweight_realtime - INFO - [2025-12-22 17:30:08.074] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:09 - lightweight_realtime - INFO - [2025-12-22 17:30:09.106] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:10 - lightweight_realtime - INFO - [2025-12-22 17:30:10.136] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:11 - lightweight_realtime - INFO - [2025-12-22 17:30:11.178] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:12 - lightweight_realtime - INFO - [2025-12-22 17:30:12.209] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:13 - lightweight_realtime - INFO - [2025-12-22 17:30:13.241] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:14 - lightweight_realtime - INFO - [2025-12-22 17:30:14.271] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:15 - lightweight_realtime - INFO - [2025-12-22 17:30:15.294] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:16 - lightweight_realtime - INFO - [2025-12-22 17:30:16.320] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:17 - lightweight_realtime - INFO - [2025-12-22 17:30:17.349] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:18 - lightweight_realtime - INFO - [2025-12-22 17:30:18.380] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
