2025-12-13 07:45:12 - lightweight_realtime - INFO - [2025-12-13 07:45:12.571] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:13 - lightweight_realtime - INFO - [2025-12-13 07:45:13.611] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:14 - lightweight_realtime - INFO - [2025-12-13 07:45:14.651] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:15 - lightweight_realtime - INFO - [2025-12-13 07:45:15.691] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:16 - lightweight_realtime - INFO - [2025-12-13 07:45:16.731] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:17 - lightweight_realtime - INFO - [2025-12-13 07:45:17.794] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:18 - lightweight_realtime - INFO - [2025-12-13 07:45:18.811] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:19 - lightweight_realtime - INFO - [2025-12-13 07:45:19.851] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:20 - lightweight_realtime - INFO - [2025-12-13 07:45:20.891] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:21 - lightweight_realtime - INFO - [2025-12-13 07:45:21.931] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:22 - lightweight_realtime - INFO - [2025-12-13 07:45:22.971] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:24 - lightweight_realtime - INFO - [2025-12-13 07:45:24.011] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:25 - lightweight_realtime - INFO - [2025-12-13 07:45:25.133] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:26 - lightweight_realtime - INFO - [2025-12-13 07:45:26.171] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:27 - lightweight_realtime - INFO - [2025-12-13 07:45:27.211] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
