2025-12-19 12:07:47 - lightweight_realtime - INFO - [2025-12-19 12:07:47.733] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:48 - lightweight_realtime - INFO - [2025-12-19 12:07:48.744] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:49 - lightweight_realtime - INFO - [2025-12-19 12:07:49.780] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:50 - lightweight_realtime - INFO - [2025-12-19 12:07:50.879] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:51 - lightweight_realtime - INFO - [2025-12-19 12:07:51.901] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:52 - lightweight_realtime - INFO - [2025-12-19 12:07:52.919] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:53 - lightweight_realtime - INFO - [2025-12-19 12:07:53.927] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:54 - lightweight_realtime - INFO - [2025-12-19 12:07:54.968] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:56 - lightweight_realtime - INFO - [2025-12-19 12:07:56.005] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:57 - lightweight_realtime - INFO - [2025-12-19 12:07:57.080] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:58 - lightweight_realtime - INFO - [2025-12-19 12:07:58.089] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:07:59 - lightweight_realtime - INFO - [2025-12-19 12:07:59.098] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:00 - lightweight_realtime - INFO - [2025-12-19 12:08:00.228] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:01 - lightweight_realtime - INFO - [2025-12-19 12:08:01.255] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:02 - lightweight_realtime - INFO - [2025-12-19 12:08:02.266] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:03 - lightweight_realtime - INFO - [2025-12-19 12:08:03.280] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:04 - lightweight_realtime - INFO - [2025-12-19 12:08:04.290] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:05 - lightweight_realtime - INFO - [2025-12-19 12:08:05.432] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:06 - lightweight_realtime - INFO - [2025-12-19 12:08:06.534] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:07 - lightweight_realtime - INFO - [2025-12-19 12:08:07.772] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:08 - lightweight_realtime - INFO - [2025-12-19 12:08:08.798] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:09 - lightweight_realtime - INFO - [2025-12-19 12:08:09.816] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:10 - lightweight_realtime - INFO - [2025-12-19 12:08:10.833] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:11 - lightweight_realtime - INFO - [2025-12-19 12:08:11.846] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:12 - lightweight_realtime - INFO - [2025-12-19 12:08:12.878] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:13 - lightweight_realtime - INFO - [2025-12-19 12:08:13.901] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:14 - lightweight_realtime - INFO - [2025-12-19 12:08:14.920] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:15 - lightweight_realtime - INFO - [2025-12-19 12:08:15.928] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:16 - lightweight_realtime - INFO - [2025-12-19 12:08:16.956] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:17 - lightweight_realtime - INFO - [2025-12-19 12:08:17.968] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:19 - lightweight_realtime - INFO - [2025-12-19 12:08:19.098] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:20 - lightweight_realtime - INFO - [2025-12-19 12:08:20.120] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:21 - lightweight_realtime - INFO - [2025-12-19 12:08:21.138] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:22 - lightweight_realtime - INFO - [2025-12-19 12:08:22.148] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:23 - lightweight_realtime - INFO - [2025-12-19 12:08:23.164] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:24 - lightweight_realtime - INFO - [2025-12-19 12:08:24.190] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:25 - lightweight_realtime - INFO - [2025-12-19 12:08:25.207] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:26 - lightweight_realtime - INFO - [2025-12-19 12:08:26.226] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:27 - lightweight_realtime - INFO - [2025-12-19 12:08:27.238] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:28 - lightweight_realtime - INFO - [2025-12-19 12:08:28.252] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:29 - lightweight_realtime - INFO - [2025-12-19 12:08:29.277] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:30 - lightweight_realtime - INFO - [2025-12-19 12:08:30.285] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:31 - lightweight_realtime - INFO - [2025-12-19 12:08:31.311] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:32 - lightweight_realtime - INFO - [2025-12-19 12:08:32.331] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:33 - lightweight_realtime - INFO - [2025-12-19 12:08:33.345] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:34 - lightweight_realtime - INFO - [2025-12-19 12:08:34.360] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:35 - lightweight_realtime - INFO - [2025-12-19 12:08:35.385] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:36 - lightweight_realtime - INFO - [2025-12-19 12:08:36.394] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:37 - lightweight_realtime - INFO - [2025-12-19 12:08:37.413] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:38 - lightweight_realtime - INFO - [2025-12-19 12:08:38.426] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:39 - lightweight_realtime - INFO - [2025-12-19 12:08:39.434] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:40 - lightweight_realtime - INFO - [2025-12-19 12:08:40.456] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:41 - lightweight_realtime - INFO - [2025-12-19 12:08:41.872] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:42 - lightweight_realtime - INFO - [2025-12-19 12:08:42.899] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:43 - lightweight_realtime - INFO - [2025-12-19 12:08:43.915] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:44 - lightweight_realtime - INFO - [2025-12-19 12:08:44.932] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:45 - lightweight_realtime - INFO - [2025-12-19 12:08:45.946] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:46 - lightweight_realtime - INFO - [2025-12-19 12:08:46.963] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:47 - lightweight_realtime - INFO - [2025-12-19 12:08:47.978] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:48 - lightweight_realtime - INFO - [2025-12-19 12:08:48.995] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:50 - lightweight_realtime - INFO - [2025-12-19 12:08:50.020] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:51 - lightweight_realtime - INFO - [2025-12-19 12:08:51.043] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:52 - lightweight_realtime - INFO - [2025-12-19 12:08:52.055] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:53 - lightweight_realtime - INFO - [2025-12-19 12:08:53.067] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:54 - lightweight_realtime - INFO - [2025-12-19 12:08:54.152] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
