2025-12-21 19:18:18 - lightweight_realtime - INFO - [2025-12-21 19:18:18.568] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:19 - lightweight_realtime - INFO - [2025-12-21 19:18:19.582] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:20 - lightweight_realtime - INFO - [2025-12-21 19:18:20.598] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:21 - lightweight_realtime - INFO - [2025-12-21 19:18:21.611] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:22 - lightweight_realtime - INFO - [2025-12-21 19:18:22.621] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:23 - lightweight_realtime - INFO - [2025-12-21 19:18:23.629] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:24 - lightweight_realtime - INFO - [2025-12-21 19:18:24.654] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:25 - lightweight_realtime - INFO - [2025-12-21 19:18:25.660] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:26 - lightweight_realtime - INFO - [2025-12-21 19:18:26.672] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:27 - lightweight_realtime - INFO - [2025-12-21 19:18:27.695] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:28 - lightweight_realtime - INFO - [2025-12-21 19:18:28.716] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:29 - lightweight_realtime - INFO - [2025-12-21 19:18:29.739] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:30 - lightweight_realtime - INFO - [2025-12-21 19:18:30.761] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:31 - lightweight_realtime - INFO - [2025-12-21 19:18:31.796] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:32 - lightweight_realtime - INFO - [2025-12-21 19:18:32.814] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:33 - lightweight_realtime - INFO - [2025-12-21 19:18:33.820] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:34 - lightweight_realtime - INFO - [2025-12-21 19:18:34.827] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:35 - lightweight_realtime - INFO - [2025-12-21 19:18:35.850] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:36 - lightweight_realtime - INFO - [2025-12-21 19:18:36.874] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:37 - lightweight_realtime - INFO - [2025-12-21 19:18:37.902] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:38 - lightweight_realtime - INFO - [2025-12-21 19:18:38.928] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:39 - lightweight_realtime - INFO - [2025-12-21 19:18:39.950] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:40 - lightweight_realtime - INFO - [2025-12-21 19:18:40.976] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:41 - lightweight_realtime - INFO - [2025-12-21 19:18:41.998] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:43 - lightweight_realtime - INFO - [2025-12-21 19:18:43.008] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:44 - lightweight_realtime - INFO - [2025-12-21 19:18:44.017] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:45 - lightweight_realtime - INFO - [2025-12-21 19:18:45.041] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:46 - lightweight_realtime - INFO - [2025-12-21 19:18:46.051] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:47 - lightweight_realtime - INFO - [2025-12-21 19:18:47.071] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:48 - lightweight_realtime - INFO - [2025-12-21 19:18:48.076] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:49 - lightweight_realtime - INFO - [2025-12-21 19:18:49.098] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:50 - lightweight_realtime - INFO - [2025-12-21 19:18:50.107] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:51 - lightweight_realtime - INFO - [2025-12-21 19:18:51.126] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:52 - lightweight_realtime - INFO - [2025-12-21 19:18:52.139] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:53 - lightweight_realtime - INFO - [2025-12-21 19:18:53.147] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:54 - lightweight_realtime - INFO - [2025-12-21 19:18:54.156] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:55 - lightweight_realtime - INFO - [2025-12-21 19:18:55.186] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:56 - lightweight_realtime - INFO - [2025-12-21 19:18:56.238] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:57 - lightweight_realtime - INFO - [2025-12-21 19:18:57.258] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:58 - lightweight_realtime - INFO - [2025-12-21 19:18:58.281] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:18:59 - lightweight_realtime - INFO - [2025-12-21 19:18:59.307] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:00 - lightweight_realtime - INFO - [2025-12-21 19:19:00.320] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:01 - lightweight_realtime - INFO - [2025-12-21 19:19:01.331] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:02 - lightweight_realtime - INFO - [2025-12-21 19:19:02.348] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:03 - lightweight_realtime - INFO - [2025-12-21 19:19:03.369] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:04 - lightweight_realtime - INFO - [2025-12-21 19:19:04.377] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:05 - lightweight_realtime - INFO - [2025-12-21 19:19:05.398] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:06 - lightweight_realtime - INFO - [2025-12-21 19:19:06.411] Positions: 0 | State: IDLE | Symbol: N/A
