2025-12-12 08:10:15 - lightweight_realtime - INFO - [2025-12-12 08:10:15.862] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:16 - lightweight_realtime - INFO - [2025-12-12 08:10:16.894] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:18 - lightweight_realtime - INFO - [2025-12-12 08:10:18.578] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:19 - lightweight_realtime - INFO - [2025-12-12 08:10:19.612] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:20 - lightweight_realtime - INFO - [2025-12-12 08:10:20.651] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:21 - lightweight_realtime - INFO - [2025-12-12 08:10:21.785] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:23 - lightweight_realtime - INFO - [2025-12-12 08:10:23.537] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:25 - lightweight_realtime - INFO - [2025-12-12 08:10:25.136] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:26 - lightweight_realtime - INFO - [2025-12-12 08:10:26.336] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:27 - lightweight_realtime - INFO - [2025-12-12 08:10:27.370] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:28 - lightweight_realtime - INFO - [2025-12-12 08:10:28.576] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:29 - lightweight_realtime - INFO - [2025-12-12 08:10:29.610] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:30 - lightweight_realtime - INFO - [2025-12-12 08:10:30.897] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:31 - lightweight_realtime - INFO - [2025-12-12 08:10:31.933] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:33 - lightweight_realtime - INFO - [2025-12-12 08:10:32.977] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:34 - lightweight_realtime - INFO - [2025-12-12 08:10:34.332] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:35 - lightweight_realtime - INFO - [2025-12-12 08:10:35.466] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:36 - lightweight_realtime - INFO - [2025-12-12 08:10:36.574] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:37 - lightweight_realtime - INFO - [2025-12-12 08:10:37.611] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:38 - lightweight_realtime - INFO - [2025-12-12 08:10:38.814] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:39 - lightweight_realtime - INFO - [2025-12-12 08:10:39.851] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:41 - lightweight_realtime - INFO - [2025-12-12 08:10:40.980] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:42 - lightweight_realtime - INFO - [2025-12-12 08:10:42.731] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:44 - lightweight_realtime - INFO - [2025-12-12 08:10:44.581] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:45 - lightweight_realtime - INFO - [2025-12-12 08:10:45.617] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:46 - lightweight_realtime - INFO - [2025-12-12 08:10:46.651] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:47 - lightweight_realtime - INFO - [2025-12-12 08:10:47.696] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:48 - lightweight_realtime - INFO - [2025-12-12 08:10:48.818] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:49 - lightweight_realtime - INFO - [2025-12-12 08:10:49.850] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:50 - lightweight_realtime - INFO - [2025-12-12 08:10:50.901] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:52 - lightweight_realtime - INFO - [2025-12-12 08:10:52.028] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:53 - lightweight_realtime - INFO - [2025-12-12 08:10:53.050] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:54 - lightweight_realtime - INFO - [2025-12-12 08:10:54.090] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:55 - lightweight_realtime - INFO - [2025-12-12 08:10:55.130] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:56 - lightweight_realtime - INFO - [2025-12-12 08:10:56.255] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:57 - lightweight_realtime - INFO - [2025-12-12 08:10:57.373] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:10:58 - lightweight_realtime - INFO - [2025-12-12 08:10:58.422] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:01 - lightweight_realtime - INFO - [2025-12-12 08:11:01.306] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:02 - lightweight_realtime - INFO - [2025-12-12 08:11:02.344] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:03 - lightweight_realtime - INFO - [2025-12-12 08:11:03.690] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:04 - lightweight_realtime - INFO - [2025-12-12 08:11:04.983] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:06 - lightweight_realtime - INFO - [2025-12-12 08:11:06.410] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:07 - lightweight_realtime - INFO - [2025-12-12 08:11:07.783] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:08 - lightweight_realtime - INFO - [2025-12-12 08:11:08.902] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:11 - lightweight_realtime - INFO - [2025-12-12 08:11:10.658] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:12 - lightweight_realtime - INFO - [2025-12-12 08:11:12.100] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:13 - lightweight_realtime - INFO - [2025-12-12 08:11:13.542] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:14 - lightweight_realtime - INFO - [2025-12-12 08:11:14.570] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:15 - lightweight_realtime - INFO - [2025-12-12 08:11:15.622] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:16 - lightweight_realtime - INFO - [2025-12-12 08:11:16.650] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:17 - lightweight_realtime - INFO - [2025-12-12 08:11:17.698] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:19 - lightweight_realtime - INFO - [2025-12-12 08:11:19.294] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:20 - lightweight_realtime - INFO - [2025-12-12 08:11:20.332] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:21 - lightweight_realtime - INFO - [2025-12-12 08:11:21.371] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:23 - lightweight_realtime - INFO - [2025-12-12 08:11:23.141] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:24 - lightweight_realtime - INFO - [2025-12-12 08:11:24.261] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:25 - lightweight_realtime - INFO - [2025-12-12 08:11:25.850] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:28 - lightweight_realtime - INFO - [2025-12-12 08:11:28.098] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:29 - lightweight_realtime - INFO - [2025-12-12 08:11:29.134] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:30 - lightweight_realtime - INFO - [2025-12-12 08:11:30.173] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:31 - lightweight_realtime - INFO - [2025-12-12 08:11:31.219] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:32 - lightweight_realtime - INFO - [2025-12-12 08:11:32.657] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:33 - lightweight_realtime - INFO - [2025-12-12 08:11:33.698] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:34 - lightweight_realtime - INFO - [2025-12-12 08:11:34.737] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:35 - lightweight_realtime - INFO - [2025-12-12 08:11:35.774] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:36 - lightweight_realtime - INFO - [2025-12-12 08:11:36.890] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:38 - lightweight_realtime - INFO - [2025-12-12 08:11:38.014] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:39 - lightweight_realtime - INFO - [2025-12-12 08:11:39.050] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:40 - lightweight_realtime - INFO - [2025-12-12 08:11:40.175] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:41 - lightweight_realtime - INFO - [2025-12-12 08:11:41.220] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:42 - lightweight_realtime - INFO - [2025-12-12 08:11:42.905] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:43 - lightweight_realtime - INFO - [2025-12-12 08:11:43.945] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:45 - lightweight_realtime - INFO - [2025-12-12 08:11:44.985] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:46 - lightweight_realtime - INFO - [2025-12-12 08:11:46.338] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:47 - lightweight_realtime - INFO - [2025-12-12 08:11:47.371] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:48 - lightweight_realtime - INFO - [2025-12-12 08:11:48.418] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:49 - lightweight_realtime - INFO - [2025-12-12 08:11:49.451] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:50 - lightweight_realtime - INFO - [2025-12-12 08:11:50.503] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:51 - lightweight_realtime - INFO - [2025-12-12 08:11:51.636] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:52 - lightweight_realtime - INFO - [2025-12-12 08:11:52.731] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:54 - lightweight_realtime - INFO - [2025-12-12 08:11:54.170] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:55 - lightweight_realtime - INFO - [2025-12-12 08:11:55.375] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:56 - lightweight_realtime - INFO - [2025-12-12 08:11:56.667] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:58 - lightweight_realtime - INFO - [2025-12-12 08:11:58.257] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:11:59 - lightweight_realtime - INFO - [2025-12-12 08:11:59.866] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:02 - lightweight_realtime - INFO - [2025-12-12 08:12:02.089] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:03 - lightweight_realtime - INFO - [2025-12-12 08:12:03.131] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:04 - lightweight_realtime - INFO - [2025-12-12 08:12:04.171] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:05 - lightweight_realtime - INFO - [2025-12-12 08:12:05.210] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:06 - lightweight_realtime - INFO - [2025-12-12 08:12:06.260] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:07 - lightweight_realtime - INFO - [2025-12-12 08:12:07.290] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:08 - lightweight_realtime - INFO - [2025-12-12 08:12:08.330] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
2025-12-12 08:12:09 - lightweight_realtime - INFO - [2025-12-12 08:12:09.538] Positions: 1 | State: MANAGING TRADE | Symbol: KOm
