2025-12-09 16:40:20 - discrepancies - WARNING - Order 467466433 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 470663874 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467734724 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463844040 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463634636 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467790029 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465290448 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464415446 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465132246 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465401047 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464723162 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464734939 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465476328 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467490025 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467469548 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467604204 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464923377 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467343090 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467491066 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467468539 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467352828 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467469055 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467593475 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463865107 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467006234 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465782047 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467466527 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467216677 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467004715 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 466978604 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467645228 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463786801 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467491634 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467551546 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467431228 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467017023 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 463788864 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467596102 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465137479 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467152711 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467448137 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467732295 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467550029 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467510108 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467470173 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 466978654 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467545951 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467743072 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464618849 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
